Job Title,Updated Date,Location,Company,Min Salary,Max Salary
DevOps Engineer (m/w/d) - 60% Home Office,2025-03-07T09:36:23Z,Düsseldorf,WeMatch.,75000,97000
Linux System Administrator (m/w/d),2025-03-07T09:35:42Z,Bielefeld,WeMatch.,50000,75000
IT-Systemadministrator (m/w/d),2025-03-07T09:35:12Z,Bielefeld,WeMatch.,48000,60000
Netzwerkadministrator (m/w/d),2025-03-07T09:34:37Z,Bielefeld,WeMatch.,52000,75000
Softwareentwickler (w/m/d) Vollzeit / Teilzeit,2025-03-07T09:32:16Z,Erfurt,BALY GmbH,39000,57000
IT-Systemadministrator (m/w/d),2025-03-07T09:31:10Z,Saarbrücken,WeMatch.,42000,53000
Senior IT-Systemadministrator (m/w/d),2025-03-07T09:30:20Z,Düren,WeMatch.,55000,70000
System Administrator / Senior Software Architect - Fullstack - SaaS,2025-03-07T09:09:33Z,Berlin,LineTweet GmbH,51000,75500
Embedded Linux/Linux Kernel Developer (m/f/d),2025-03-07T08:38:12Z,Uhldingen-Mühlhofen,Antal International Nürnberg,54500,81500
System Architect (m/w/d) Embedded Linux,2025-03-07T08:32:10Z,Uhldingen-Mühlhofen,Antal International Nürnberg,63000,92000
Senior Software-Developer (m/w/d),2025-03-07T08:11:10Z,Frankfurt am Main,WeMatch.,57500,89000
Junior Softwareentwickler (m/w/d) – PHP,2025-03-07T08:10:50Z,Frankfurt am Main,WeMatch.,45500,70000
2nd Level IT Support Engineer (m/w/d),2025-03-07T06:48:16Z,Frankfurt am Main,matrix 42 AG,44000,68500
Senior Backend Developer - AWS/Node - (f/m/x),2025-03-07T06:47:55Z,Berlin,doinstruct Software GmbH,49500,69500
JavaScript & React Developer (m/w/d),2025-03-07T06:34:58Z,Fellbach,Jörg Paule Informationssysteme GmbH,47500,72000
Frontend Software Developer (w/m/d),2025-03-07T06:34:47Z,Dresden,egocentric Systems GmbH,64500,81000
Software Developer (m/w/d) .NET Backend,2025-03-07T06:27:39Z,Leipzig,Simplias GmbH,49000,68000
Embedded/C++ Developer:in (w/m/d),2025-03-07T06:25:30Z,Esslingen am Neckar,homee GmbH,50000,69500
Testmanager (all genders),2025-03-07T06:22:39Z,Augsburg,euregon AG,48500,63500
Senior Softwareentwickler:in (m/w/d),2025-03-07T05:30:46Z,Ulm,eXXcellent solutions,47500,70000
Senior Softwareentwickler:in (m/w/d),2025-03-07T05:30:41Z,Darmstadt,eXXcellent solutions,47000,69500
Software Architekt:in (m/w/d),2025-03-07T05:30:40Z,Darmstadt,eXXcellent solutions,64000,94500
Software Architekt:in (m/w/d),2025-03-07T05:30:35Z,Ulm,eXXcellent solutions,64500,94500
Software Architekt:in SAP (m/w/d),2025-03-07T05:30:25Z,Ulm,eXXcellent solutions,67500,100000
KI-Ingenieur/in,2025-03-07T04:20:11Z,Aachen,gridhound,45500,70500
Application Security Engineer (f/m/d),2025-03-07T04:13:26Z,Frankfurt am Main,Frankfurt School of Finance & Management gemeinnützige GmbH,46500,65500
Softwareentwickler (m/w/d) Schwerpunkt Java,2025-03-07T04:11:36Z,Hannover,IT-Choice Software AG,48500,75000
Software Test Engineer / Quality Engineer C# (m/w/d),2025-03-07T04:11:33Z,Karlsruhe,IT-Choice Software AG,53000,78000
Cyber Security Analyst (m/w/d),2025-03-07T03:40:49Z,Frankfurt am Main,medatixx GmbH & Co. KG Jobportal,48500,71500
Software Engineer,2025-03-07T03:16:15Z,München,Engineering,58500,87000
Cloud-Administrator ­­/­­ Support Engineer (m/w/d),2025-03-07T03:05:50Z,Ettlingen,Schleupen SE,34000,48500
PHP Developer (all genders),2025-03-07T02:33:14Z,Stuttgart,DYMATRIX GmbH,47500,71000
IT Support and Managed Service Engineer (m/w/d),2025-03-07T01:48:51Z,Idstein,Serviceware SE,44500,68000
Senior Software Engineer - Backend (f/m/d),2025-03-07T01:34:03Z,Berlin,Contentful GmbH,51500,76500
Senior Full Stack Engineer - Content API Team,2025-03-07T01:33:46Z,Berlin,Contentful GmbH,51000,77000
Backend Engineer - Content Storage Team,2025-03-07T01:33:28Z,Berlin,Contentful GmbH,50500,76000
Java Software Engineer,2025-03-07T01:25:14Z,München,Genedata,53500,84000
IT-Techniker (m/w/d),2025-03-07T01:21:50Z,Heidelberg,Online Software AG,30500,36000
IT System Engineer (w/m/d) Region Nordbayern für die Living Data,2025-03-07T01:06:41Z,Nürnberg,Anstalt für Kommunale Datenverarbeitung in Bayern (AKDB),50500,74000
IT Fachkraft / Beschäftigte*r in der Informations- und Kommunikationstechnik (d/m/w) - Entgeltgruppe,2025-03-06T23:29:20Z,Berlin,Technische Universität Berlin,40500,44000
Promotionsstelle: Wissenschaftliche/r Mitarbeiter/in (m/w/d) im Bereich Enterprise-Resource-Planning (ERP) und SAP Cloud,2025-03-06T23:21:38Z,München,Technische Universität München,44000,62000
DevOps Engineer (all genders),2025-03-06T23:01:37Z,Bremen,TeamViewer GmbH,47500,64500
Software Engineer C++ E-Health (m/w/d),2025-03-06T22:31:42Z,Koblenz,CompuGroup Medical SE,45500,72000
Product Owner Digital Health (m/w/d),2025-03-06T22:31:39Z,Koblenz,CompuGroup Medical SE,46500,70000
IT Servicetechniker im Außendienst (m/w/d),2025-03-06T22:31:39Z,Berlin,CompuGroup Medical SE,31500,45500
Change Training Manager AI Culture (m/w/d),2025-03-06T22:31:35Z,Koblenz,CompuGroup Medical SE,60000,93000
Technischer Service Support Professional (m/w/d),2025-03-06T22:31:31Z,Oberessendorf,CompuGroup Medical SE,33000,48000
DevOps Engineer (m/w/d) für Cloud Software im Dentalbereich,2025-03-06T22:31:27Z,Koblenz,CompuGroup Medical SE,59000,91000
