Job Title;Updated Date;Company;Min Salary;Max Salary;Cleaned_City;Latitude;Longitude;country;State
Senior Software Developer (w/m/d);2025-04-11T08:13:24Z;Tiffinger & Thiel GmbH;;;landshut;485397;121508;Germany;Bavaria
Inside Sales Manager Business Software (m/w/d);2025-04-11T08:13:23Z;Step Ahead GmbH;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
Fullstack Webentwickler (m/w/d) fÃ¼r Laravel & Vue.js Projekt;2025-04-11T08:13:23Z;TripleConsult GmbH;;;halle;514828;119697;Germany;Saxony-Anhalt
eHealth Application Engineer (m/w/d) fÃ¼r medizinische Informationssysteme und Telematik-Infrastruktur;2025-04-11T07:54:32Z;Antal International NÃ¼rnberg;;;augsburg;483717;108983;Germany;Bavaria
Project Manager Software / Program Manager (m/w/d);2025-04-11T07:40:02Z;primion Technology GmbH;;;frankfurt;501136;86797;Germany;Hesse
Frontend Entwickler (m/w/d);2025-04-11T07:16:34Z;Peak One GmbH;;;bad nauheim;503667;87500;Germany;Hesse
Senior Software Entwickler (m/w/d);2025-04-11T06:12:48Z;Robotron Datenbank-Software GmbH;;;leipzig;513500;123833;Germany;Saxony
DevOps Engineer (m/w/d);2025-04-11T06:11:34Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Trainer fÃ¼r Datenbanktechnologien (m/w/d);2025-04-11T06:09:04Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Datenbankspezialist (m/w/d);2025-04-11T06:08:32Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Trainer fÃ¼r SoftwarelÃ¶sungen Energiewirtschaft (m/w/d);2025-04-11T06:08:31Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
(Senior) Software Developer Prognose & KI (m/w/d);2025-04-11T06:08:00Z;Robotron Datenbank-Software GmbH;;;leipzig;513500;123833;Germany;Saxony
Cloud Engineer (m/w/d);2025-04-11T06:07:17Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Softwaretester (m/w/d);2025-04-11T06:06:45Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Full Stack Developer (m/w/d);2025-04-11T06:06:35Z;Robotron Datenbank-Software GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer C# (m/w/d) im Bereich Manufacturing Automation;2025-04-11T06:03:45Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer C# Standort Jena (m/w/d) im Bereich Equipment Control;2025-04-11T06:03:13Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer Backend (m/w/d) im Bereich Equipment Control;2025-04-11T06:03:02Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Application Consultant Tool Automation (w/m/d);2025-04-11T06:02:52Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer C++ Railway (m/w/d);2025-04-11T06:02:30Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer C# (m/w/d) im Bereich Equipment Integration;2025-04-11T06:02:30Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Application Engineer (w/m/d) im Bereich ToolAutomation;2025-04-11T06:02:20Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer C# (m/w/d) im Bereich Equipment Control;2025-04-11T06:02:09Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Software Developer Oracle Apex (m/w/d) fÃ¼r Web-Applikationen;2025-04-11T06:01:58Z;Kontron AIS GmbH;;;dresden;510493;137384;Germany;Saxony
Fachbereichskoordinator/-in fÃ¼r IT und Digitalisierung (w/m/d);2025-04-11T05:43:59Z;UniversitÃ¤t Potsdam;;;potsdam;524000;130667;Germany;Brandenburg
System Administrator (m/f/d) SAP;2025-04-11T05:23:13Z;Cideon;;;bautzen;511814;144239;Germany;Saxony
Full Stack Engineer with Data Analysis and AI/ML Focus (f/m/d);2025-04-11T04:26:58Z;Allex Projects GmbH;;;mönchengladbach;512000;64333;Germany;North Rhine-Westphalia
IT Manager (m/w/d);2025-04-11T02:54:10Z;Implico GmbH;;;hamburg;535500;100000;Germany;Hamburg
Code mit Wirkung - Entwickle, was Unternehmen voranbringt br / Fullstack Softwareentwickler;2025-04-11T01:51:57Z;IAS Software;;;lingen;525233;73172;Germany;Lower Saxony
Linux Administrator (m/f/d);2025-04-11T00:22:49Z;GK Software SE;;;berlin;525167;133833;Germany;Berlin
Linux Administrator (m/w/d);2025-04-11T00:22:49Z;GK Software SE;;;berlin;525167;133833;Germany;Berlin
Software Testingenieur (m/w/d) - hybrides Arbeiten (Remote & PrÃ¤senz);2025-04-11T00:13:20Z;LHH Recruitment Solutions;;;frankfurt;501136;86797;Germany;Hesse
Oracle Administrator (m/w/d) mit Linux Erfahrungen;2025-04-11T00:05:57Z;Amadeus Fire AG;;;berlin;525167;133833;Germany;Berlin
Senior Data Platform Engineer (f/m/d);2025-04-11T00:04:21Z;Contentful GmbH;;;berlin;525167;133833;Germany;Berlin
Senior Software Engineer - Identity and Access Management (f/m/d);2025-04-11T00:04:15Z;Contentful GmbH;;;berlin;525167;133833;Germany;Berlin
