city;lat;lng;country;State/admin
Haldensleben;522833;114167;Germany;Saxony-Anhalt
Sömmerda;511617;111169;Germany;Thuringia
Prenzlau;533167;138667;Germany;Brandenburg
Wittlich;499869;68897;Germany;Rhineland-Palatinate
Dillingen;485667;104667;Germany;Bavaria
Bad Tölz;477603;115567;Germany;Bavaria
Marktoberdorf;477667;106167;Germany;Bavaria
Alzey;497517;81161;Germany;Rhineland-Palatinate
Bad Dürkheim;494618;81724;Germany;Rhineland-Palatinate
Weißenburg;490306;109719;Germany;Bavaria
Bad Reichenhall;477247;128769;Germany;Bavaria
Forst;517333;146333;Germany;Brandenburg
Parchim;534167;118333;Germany;Mecklenburg-Western Pomerania
Sigmaringen;480867;92164;Germany;Baden-Württemberg
Bad Segeberg;539356;103089;Germany;Schleswig-Holstein
Heilbad Heiligenstadt;513775;101344;Germany;Thuringia
Eutin;541378;106181;Germany;Schleswig-Holstein
Cham;492183;126658;Germany;Bavaria
Diepholz;526072;83711;Germany;Lower Saxony
Kronach;502411;113281;Germany;Bavaria
Kelheim;489167;118667;Germany;Bavaria
Bad Neustadt;503219;102161;Germany;Bavaria
Künzelsau;492833;96833;Germany;Baden-Württemberg
Mindelheim;480333;104667;Germany;Bavaria
Brake;533333;84833;Germany;Lower Saxony
Bitburg;499747;65256;Germany;Rhineland-Palatinate
Ratzeburg;537017;107567;Germany;Schleswig-Holstein
Jever;535744;79008;Germany;Lower Saxony
Lübben;519500;139000;Germany;Brandenburg
Montabaur;504375;78258;Germany;Rhineland-Palatinate
Erbach;496569;89931;Germany;Hesse
Lauterbach;506378;93944;Germany;Hesse
Haßfurt;500353;105123;Germany;Bavaria
Eichstätt;488919;111839;Germany;Bavaria
Tauberbischofsheim;496225;96628;Germany;Baden-Württemberg
Neustadt;495800;106089;Germany;Bavaria
Pfarrkirchen;484419;129443;Germany;Bavaria
Ebersberg;480833;119667;Germany;Bavaria
Perleberg;530667;118667;Germany;Brandenburg
Bad Fallingbostel;528675;96967;Germany;Lower Saxony
Hildburghausen;504261;107289;Germany;Thuringia
Miesbach;477890;118338;Germany;Bavaria
Bad Schwalbach;501401;80694;Germany;Hesse
Regen;489700;131264;Germany;Bavaria
Eisenberg;509667;119000;Germany;Thuringia
Altötting;482264;126759;Germany;Bavaria
Bad Ems;503381;77106;Germany;Rhineland-Palatinate
Lüchow;529667;111500;Germany;Lower Saxony
Miltenberg;497039;92644;Germany;Bavaria
Wunsiedel;500374;119994;Germany;Bavaria
Herzberg;516831;132331;Germany;Brandenburg
Plön;541622;104214;Germany;Schleswig-Holstein
Schleiz;505833;118167;Germany;Thuringia
Tirschenreuth;498789;123369;Germany;Bavaria
Beeskow;521667;142500;Germany;Brandenburg
Daun;501986;68319;Germany;Rhineland-Palatinate
Simmern;499833;75167;Germany;Rhineland-Palatinate
Kirchheimbolanden;496664;80117;Germany;Rhineland-Palatinate
Freyung;488075;135475;Germany;Bavaria
Birkenfeld;496500;71833;Germany;Rhineland-Palatinate
Altenkirchen;506872;76456;Germany;Rhineland-Palatinate
Neustadt;497306;121706;Germany;Bavaria
Seelow;525167;143831;Germany;Brandenburg
Kusel;495347;73981;Germany;Rhineland-Palatinate
Cochem;501469;71667;Germany;Rhineland-Palatinate
Offenbach;501006;87665;Germany;Hesse
Weiden;496768;121561;Germany;Bavaria
Nienburg;526461;92208;Germany;Lower Saxony
Verden;529234;92349;Germany;Lower Saxony
Köthen;517518;119709;Germany;Saxony-Anhalt
Rotenburg;530851;93879;Germany;Lower Saxony
Karlstadt;499603;97724;Germany;Bavaria
Neustadt;495656;88437;Germany;Hesse
Homberg;510299;94026;Germany;Hesse
Garmisch-Partenkirchen;474985;111044;Germany;Bavaria
Sankt Wolfgang;482415;121834;Germany;Bavaria
Netphen;509419;80531;Germany;North Rhine-Westphalia
Eberhardzell;480167;97833;Germany;Baden-Württemberg
Pfinztal;489667;85333;Germany;Baden-Württemberg
Schutterwald;485167;78833;Germany;Baden-Württemberg
Wasbek;540833;99833;Germany;Schleswig-Holstein
Gauting;481000;113500;Germany;Bavaria
Telgte;519500;77833;Germany;North Rhine-Westphalia
Boppard;502333;75500;Germany;Rhineland-Palatinate
Vogtei;512155;104262;Germany;Thuringia
Bardowick;533333;104333;Germany;Lower Saxony
