city;lat;lng;country;State/admin
Aschaffenburg;499757;91478;Germany;Bavaria
Celle;526256;100825;Germany;Lower Saxony
Kempten;477333;103167;Germany;Bavaria
Fulda;505528;96775;Germany;Hesse
Aalen;488372;100936;Germany;Baden-Württemberg
Lippstadt;516667;83500;Germany;North Rhine-Westphalia
Dinslaken;515667;67333;Germany;North Rhine-Westphalia
Herford;521146;86734;Germany;North Rhine-Westphalia
Kerpen;508719;66961;Germany;North Rhine-Westphalia
Weimar;509833;113167;Germany;Thuringia
Plauen;504950;121383;Germany;Saxony
Sindelfingen;487133;90028;Germany;Baden-Württemberg
Neuwied;504286;74614;Germany;Rhineland-Palatinate
Dormagen;510964;68400;Germany;North Rhine-Westphalia
Neubrandenburg;535569;132608;Germany;Mecklenburg-Western Pomerania
Grevenbroich;510883;65875;Germany;North Rhine-Westphalia
Rosenheim;478561;121289;Germany;Bavaria
Herten;516000;71333;Germany;North Rhine-Westphalia
Bergheim;509667;66500;Germany;North Rhine-Westphalia
Schwäbisch Gmünd;488000;98000;Germany;Baden-Württemberg
Coburg;502666;109666;Germany;Bavaria
Friedrichshafen;476542;94792;Germany;Baden-Württemberg
Garbsen;524183;95981;Germany;Lower Saxony
Wesel;516586;66178;Germany;North Rhine-Westphalia
Hürth;508775;68761;Germany;North Rhine-Westphalia
Offenburg;484708;79408;Germany;Baden-Württemberg
Stralsund;543000;130833;Germany;Mecklenburg-Western Pomerania
Greifswald;540833;133833;Germany;Mecklenburg-Western Pomerania
Langenfeld;511167;69500;Germany;North Rhine-Westphalia
Neu-Ulm;483833;100000;Germany;Bavaria
Unna;515347;76889;Germany;North Rhine-Westphalia
Euskirchen;506597;67917;Germany;North Rhine-Westphalia
Frankfurt (Oder);523500;145500;Germany;Brandenburg
Göppingen;487025;96528;Germany;Baden-Württemberg
Hameln;521031;93600;Germany;Lower Saxony
Stolberg;507667;62333;Germany;North Rhine-Westphalia
Eschweiler;508167;62833;Germany;North Rhine-Westphalia
Görlitz;511528;149872;Germany;Saxony
Meerbusch;512667;66667;Germany;North Rhine-Westphalia
Sankt Augustin;507700;71867;Germany;North Rhine-Westphalia
Hilden;511714;69394;Germany;North Rhine-Westphalia
Waiblingen;488303;93169;Germany;Baden-Württemberg
Baden-Baden;487619;82408;Germany;Baden-Württemberg
Langenhagen;524394;97400;Germany;Lower Saxony
Hattingen;513992;71858;Germany;North Rhine-Westphalia
Lingen;525233;73172;Germany;Lower Saxony
Bad Homburg;502292;86105;Germany;Hesse
Bad Salzuflen;520875;87506;Germany;North Rhine-Westphalia
Pulheim;510000;68000;Germany;North Rhine-Westphalia
Schweinfurt;500500;102333;Germany;Bavaria
Nordhorn;524333;70667;Germany;Lower Saxony
Neustadt;493500;81500;Germany;Rhineland-Palatinate
Wetzlar;505667;85000;Germany;Hesse
Ahlen;517633;78911;Germany;North Rhine-Westphalia
Frechen;509167;68167;Germany;North Rhine-Westphalia
Passau;485667;134667;Germany;Bavaria
Wolfenbüttel;521622;105369;Germany;Lower Saxony
Ibbenbüren;522778;77167;Germany;North Rhine-Westphalia
Kleve;517900;61400;Germany;North Rhine-Westphalia
Bad Kreuznach;498469;78669;Germany;Rhineland-Palatinate
Goslar;519060;104292;Germany;Lower Saxony
Gummersbach;510333;75667;Germany;North Rhine-Westphalia
Ravensburg;477831;96114;Germany;Baden-Württemberg
Willich;512631;65492;Germany;North Rhine-Westphalia
Speyer;493194;84311;Germany;Rhineland-Palatinate
Böblingen;486833;90000;Germany;Baden-Württemberg
Peine;523203;102336;Germany;Lower Saxony
Emden;533669;72061;Germany;Lower Saxony
Elmshorn;537547;96536;Germany;Schleswig-Holstein
Erftstadt;508167;67667;Germany;North Rhine-Westphalia
Rastatt;488572;82031;Germany;Baden-Württemberg
Heidenheim;486761;101544;Germany;Baden-Württemberg
Lörrach;476156;76614;Germany;Baden-Württemberg
Leonberg;488014;90131;Germany;Baden-Württemberg
Bergkamen;516167;76333;Germany;North Rhine-Westphalia
Bad Oeynhausen;522000;88000;Germany;North Rhine-Westphalia
Freising;484028;117489;Germany;Bavaria
Frankenthal;495333;83500;Germany;Rhineland-Palatinate
Rheda-Wiedenbrück;518417;83000;Germany;North Rhine-Westphalia
Cuxhaven;538667;87000;Germany;Lower Saxony
Bornheim;507592;70050;Germany;North Rhine-Westphalia
Gronau;522125;70417;Germany;North Rhine-Westphalia
Straubing;488772;125758;Germany;Bavaria
Stade;536008;94764;Germany;Lower Saxony
Soest;515711;81092;Germany;North Rhine-Westphalia
Dachau;482603;114342;Germany;Bavaria
Alsdorf;508744;61615;Germany;North Rhine-Westphalia
Landau;491994;81231;Germany;Rhineland-Palatinate
Dülmen;518308;72783;Germany;North Rhine-Westphalia
Melle;522031;83361;Germany;Lower Saxony
Neunkirchen;493448;71799;Germany;Saarland
Herzogenrath;508667;61000;Germany;North Rhine-Westphalia
Schwerte;514458;75653;Germany;North Rhine-Westphalia
Oberursel;502028;85769;Germany;Hesse
Wittenberg;518671;126484;Germany;Saxony-Anhalt
Hof;503167;119167;Germany;Bavaria
Filderstadt;486667;92167;Germany;Baden-Württemberg
Gotha;509489;107183;Germany;Thuringia
Fellbach;488086;92758;Germany;Baden-Württemberg
Bünde;522000;86000;Germany;North Rhine-Westphalia
Albstadt;482119;90239;Germany;Baden-Württemberg
Weinheim;495561;86697;Germany;Baden-Württemberg
Rodgau;500256;88841;Germany;Hesse
Bruchsal;491333;86000;Germany;Baden-Württemberg
Oranienburg;527544;132369;Germany;Brandenburg
Brühl;508333;69000;Germany;North Rhine-Westphalia
Erkrath;512239;69147;Germany;North Rhine-Westphalia
Neustadt am Rübenberge;525055;94636;Germany;Lower Saxony
Lehrte;523725;99769;Germany;Lower Saxony
Kaufbeuren;478800;106225;Germany;Bavaria
Falkensee;525583;130917;Germany;Brandenburg
Memmingen;479878;101811;Germany;Bavaria
Kaarst;512278;66273;Germany;North Rhine-Westphalia
Erkelenz;510800;63156;Germany;North Rhine-Westphalia
Pinneberg;536591;98009;Germany;Schleswig-Holstein
Bietigheim-Bissingen;489667;91333;Germany;Baden-Württemberg
Kamen;515917;76653;Germany;North Rhine-Westphalia
Wismar;538925;114650;Germany;Mecklenburg-Western Pomerania
Borken;518439;68583;Germany;North Rhine-Westphalia
Gifhorn;524886;105464;Germany;Lower Saxony
Nettetal;513167;62833;Germany;North Rhine-Westphalia
Eisenach;509747;103244;Germany;Thuringia
Dreieich;500189;86961;Germany;Hesse
Aurich;534714;74836;Germany;Lower Saxony
Amberg;494444;118483;Germany;Bavaria
Heinsberg;510631;60964;Germany;North Rhine-Westphalia
Ansbach;493000;105833;Germany;Bavaria
Homburg;493167;73333;Germany;Saarland
Nordhausen;515050;107911;Germany;Thuringia
Wunstorf;524238;94359;Germany;Lower Saxony
Siegburg;508014;72044;Germany;North Rhine-Westphalia
Laatzen;523077;98133;Germany;Lower Saxony
Königswinter;506833;71833;Germany;North Rhine-Westphalia
Nürtingen;486267;93353;Germany;Baden-Württemberg
Freiberg;509119;133428;Germany;Saxony
Schwabach;493292;110208;Germany;Bavaria
Lemgo;520277;89043;Germany;North Rhine-Westphalia
Kirchheim unter Teck;486483;94511;Germany;Baden-Württemberg
Bensheim;496811;86228;Germany;Hesse
Schwäbisch Hall;491122;97375;Germany;Baden-Württemberg
Weißenfels;512000;119667;Germany;Saxony-Anhalt
Pirmasens;492000;76000;Germany;Rhineland-Palatinate
Germering;481333;113667;Germany;Bavaria
Eberswalde;528331;138331;Germany;Brandenburg
Halberstadt;518958;110467;Germany;Saxony-Anhalt
Buxtehude;534769;97011;Germany;Lower Saxony
Leinfelden-Echterdingen;486928;91428;Germany;Baden-Württemberg
Neumarkt;492833;114667;Germany;Bavaria
Hückelhoven;510608;62197;Germany;North Rhine-Westphalia
Hofheim;500876;84447;Germany;Hesse
Freital;510167;136500;Germany;Saxony
Löhne;522000;87000;Germany;North Rhine-Westphalia
Schorndorf;488000;95333;Germany;Baden-Württemberg
Stendal;526000;118500;Germany;Saxony-Anhalt
Völklingen;492500;68333;Germany;Saarland
Ettlingen;489333;84000;Germany;Baden-Württemberg
Ostfildern;487228;92631;Germany;Baden-Württemberg
Maintal;501500;88333;Germany;Hesse
Ahaus;520794;70134;Germany;North Rhine-Westphalia
Ilmenau;506872;109142;Germany;Thuringia
Mettmann;512500;69667;Germany;North Rhine-Westphalia
Würselen;508247;61275;Germany;North Rhine-Westphalia
Bitterfeld;516167;123167;Germany;Saxony
Bautzen;511814;144239;Germany;Saxony
Pirna;509622;139403;Germany;Saxony
Niederkassel;508167;70333;Germany;North Rhine-Westphalia
Langen;499893;86803;Germany;Hesse
Greven;520917;76083;Germany;North Rhine-Westphalia
Fürstenfeldbruck;481778;112556;Germany;Bavaria
Neu Isenburg;500558;86971;Germany;Hesse
Papenburg;530667;74000;Germany;Lower Saxony
Kamp-Lintfort;515000;65333;Germany;North Rhine-Westphalia
Backnang;489464;94306;Germany;Baden-Württemberg
Warendorf;519539;79933;Germany;North Rhine-Westphalia
Königs Wusterhausen;522917;136250;Germany;Brandenburg
Suhl;506106;106931;Germany;Thuringia
Beckum;517558;80408;Germany;North Rhine-Westphalia
Erding;483001;119082;Germany;Bavaria
Coesfeld;519458;71675;Germany;North Rhine-Westphalia
Mühlhausen;512167;104500;Germany;Thuringia
Wesseling;508207;69786;Germany;North Rhine-Westphalia
Kehl;485711;78089;Germany;Baden-Württemberg
